word,true_label,predictions
myselfe,O,O
to,O,O
have,O,O
taryed,O,O
here,O,O
for,O,O
anny,O,O
other,O,O
busynes,O,O
of,O,O
myne,O,O
awne,O,O
",",O,O
that,O,O
myght,O,O
have,O,O
ymported,O,O
me,O,O
as,O,O
moche,O,O
as,O,O
this,O,O
busynes,O,O
of,O,O
yours,O,O
dothe,O,O
ymport,O,O
you,O,O
",",O,O
I,O,O
am,O,O
afrayde,O,O
ye,O,O
wolde,O,O
have,O,O
thowght,O,O
all,O,O
thinges,O,O
wold,O,O
not,O,O
have,O,O
framed,O,O
well,O,O
with,O,O
me,O,O
",",O,O
wherby,O,O
ye,O,O
showld,O,O
be,O,O
in,O,O
danger,O,O
for,O,O
the,O,O
matters,O,O
ye,O,O
knowe,O,O
of,O,O
betwene,O,O
Wilmot,O,O
and,O,O
me,O,O
",",O,O
and,O,O
theirfore,O,O
shall,O,O
desire,O,O
you,O,O
to,O,O
be,O,O
as,O,O
well,O,O
content,O,O
with,O,O
me,O,O
another,O,O
tyme,O,O
when,O,O
I,O,O
followe,O,O
some,O,O
other,O,O
busynes,O,O
of,O,O
my,O,O
awne,O,O
besides,O,O
that,O,O
busynes,O,O
that,O,O
is,O,O
betwene,O,O
you,O,O
and,O,O
me,O,O
",",O,O
as,O,O
ye,O,O
be,O,O
nowe,O,O
willinge,O,O
to,O,O
have,O,O
me,O,O
to,O,O
leave,O,O
that,O,O
busynes,O,O
to,O,O
serve,O,O
your,O,O
purpose,O,O
otherwyse,O,O
.,O,O
For,O,O
news,O,O
of,O,O
the,O,O
Turk,O,O
whe,O,O
have,O,O
not,O,O
grettlye,O,O
to,O,O
write,O,O
yow,O,O
of,O,O
",",O,O
the,O,O
lettres,O,O
of,O,O
Constantynenoble,O,O
beynge,O,O
here,O,O
aryved,O,O
this,O,O
day,O,O
",",O,O
wyche,O,O
menshon,O,O
not,O,O
other,O,O
then,O,O
that,O,O
men,O,O
suppoose,O,O
the,O,O
Frenchemen,O,O
shall,O,O
no,O,O
longer,O,O
trade,O,O
thither,O,O
",",O,O
the,O,O
Embasador,O,O
(3b,O,O
),O,O
that,O,O
whent,O,O
thither,O,O
beyng,O,O
returnyd,O,O
to,O,O
Marselis,O,O
;,O,O
and,O,O
was,O,O
hyghly,O,O
entertened,O,O
of,O,O
the,O,O
Turke,O,O
",",O,O
who,O,O
made,O,O
hym,O,O
a,O,O
bankett,O,O
wherat,O,O
was,O,O
300,O,O
men,O,O
to,O,O
serve,O,O
hit,O,O
",",O,O
and,O,O
after,O,O
the,O,O
bankett,O,O
was,O,O
fynyshed,O,O
gave,O,O
the,O,O
sayde,O,O
Embasador,O,O
the,O,O
hoole,O,O
plate,O,O
that,O,O
served,O,O
at,O,O
the,O,O
same,O,O
bankett,O,O
;,O,O
but,O,O
yf,O,O
he,O,O
had,O,O
tared,O,O
(4b,O,O
),O,O
cary,O,O
days,O,O
longer,O,O
that,O,O
the,O,O
Turke,O,O
had,O,O
knowen,O,O
of,O,O
the,O,O
peace,O,O
",",O,O
(4b,O,O
),O,O
he,O,O
had,O,O
tared,O,O
and,O,O
his,O,O
plate,O,O
allsoo,O,O
.,O,O
The,O,O
say,O,O
ther,O,O
ys,O,O
now,O,O
another,O,O
Embasodor,O,O
gone,O,O
thither,O,O
from,O,O
France,O,O
;,O,O
allsoo,O,O
the,O,O
sayde,O,O
Turke,O,O
hath,O,O
gevyn,O,O
the,O,O
Seyngnyore,O,O
here,O,O
3,O,O
or,O,O
4,O,O
Ml,O,O
.,O,O
dokettes,O,O
that,O,O
the,O,O
have,O,O
payd,O,O
yerely,O,O
in,O,O
his,O,O
lande,O,O
by,O,O
serten,O,O
customes,O,O
",",O,O
soo,O,O
that,O,O
he,O,O
seekes,O,O
all,O,O
meyns,O,O
possible,O,O
to,O,O
have,O,O
frendes,O,O
in,O,O
Cristondome,O,B
",",O,O
makyng,O,O
greatt,O,O
preperatyon,O,O
to,O,O
goo,O,O
ageynst,O,O
Hongery,O,O
and,O,O
Veyna,O,O
",",O,O
the,O,O
chyffe,O,O
towne,O,O
therin,O,O
",",O,O
intendyng,O,O
to,O,O
come,O,O
thither,O,O
this,O,O
next,O,O
somer,O,O
",",O,O
God,O,O
sende,O,O
him,O,O
yll,O,O
successe,O,O
.,O,O
End,O,O
.,O,O
1551,B,B
",",O,O
from,O,O
Richard,O,O
Sandaell,O,O
at,O,O
London,O,O
",",O,O
le,B,B
10,I,I
September,I,I
;,O,O
receyved,O,O
at,O,O
Glapthorne,O,O
le,B,B
14,I,I
of,I,I
the,I,I
same,I,I
;,O,O
aunsweryd,O,O
le,O,B
.,O,O
Thomas,O,O
Rose,O,O
havyng,O,O
beyn,O,O
here,O,O
and,O,O
requyrid,O,O
the,O,O
321li,O,O
l3s,O,O
4d,O,O
for,O,O
James,O,O
Clarke,O,O
without,O,O
his,O,O
bill,O,O
",",O,O
I,O,O
have,O,O
not,O,O
paid,O,O
hym,O,O
the,O,O
same,O,O
",",O,O
but,O,O
first,O,O
causid,O,O
hym,O,O
to,O,O
sende,O,O
for,O,O
the,O,O
said,O,O
bill,O,O
whiche,O,O
he,O,O
saith,O,O
ys,O,O
in,O,O
Ynglonde,O,O
",",O,O
yf,O,O
there,O,O
wear,O,O
any,O,O
delyvered,O,O
.,O,O
Sir,O,O
",",O,O
I,O,O
have,O,O
sente,O,O
to,O,O
my,O,O
brother,O,O
Otwell,O,O
billis,O,O
of,O,O
my,O,O
gossep,O,O
Crante's,O,O
",",O,O
Mistris,O,O
Baynam's,O,O
kynswoman,O,O
.,O,O
I,O,O
praie,O,O
you,O,O
",",O,O
at,O,O
your,O,O
comyng,O,O
to,O,O
London,O,O
sett,O,O
them,O,O
and,O,O
other,O,O
that,O,O
ye,O,O
have,O,O
forward,O,O
in,O,O
the,O,O
lave,O,O
.,O,O
;,O,O
.,O,O
and,O,O
often,O,O
.,O,O
of,O,O
a,O,O
.,O,O
Lorde,O,O
graunt,O,O
you,O,O
your,O,O
gentill,O,O
herte's,O,O
desier,O,O
.,O,O
By,O,O
youres,O,O
to,O,O
comand,O,O
",",O,O
Otwell,O,O
Johnson,O,O
.,O,O
Afor,O,O
the,O,O
selyng,O,O
of,O,O
this,O,O
my,O,O
letter,O,O
",",O,O
I,O,O
resevyde,O,O
your,O,O
letter,O,O
",",O,O
dat,O,O
the,B,B
xviijth,I,I
of,I,I
October,I,I
",",O,O
wherby,O,O
I,O,O
perseve,O,O
ye,O,O
wolde,O,O
be,O,O
informed,O,O
consernyng,O,O
my,O,O
prices,O,O
bothe,O,O
of,O,O
woll,O,O
and,O,O
felles,O,O
",",O,O
wyche,O,O
.,O,O
to,O,O
my,O,O
trusty,O,O
frende,O,O
to,O,O
set,O,O
my,O,O
price,O,O
her,O,O
.,O,O
But,O,O
to,O,O
sell,O,O
.,O,O
and,O,O
as,O,O
thoughe,O,O
yt,O,O
wer,O,O
your,O,O
oune,O,O
for,O,O
redy,O,O
monay,O,O
.,O,O
unto,O,O
",",O,O
and,O,O
farther,O,O
do,O,O
your,O,O
plesur,O,O
",",O,O
as,O,O
I,O,O
have,O,O
withyn,O,O
.,O,O
I,O,O
sell,O,O
anny,O,O
mor,O,O
or,O,O
not,O,O
",",O,O
unles,O,O
ye,O,O
hav,O,O
a,O,O
.,O,O
allso,O,O
namyd,O,O
.,O,O
And,O,O
vher,O,O
ye,O,O
canenot,O,O
perseve,O,O
but,O,O
.,O,O
so,O,O
moche,O,O
monay,O,O
redy,O,O
at,O,O
London,O,O
as,O,O
the,O,O
sayde,O,O
custom,O,O
amounteth,O,O
to,O,O
",",O,O
upon,O,O
syght,O,O
of,O,O
your,O,O
letter,O,O
",",O,O
I,O,O
schall,O,O
not,O,O
fayll,O,O
",",O,O
God,O,O
willing,O,O
.,O,O
yt,O,O
yom,O,O
myselff,O,O
",",O,O
yff,O,O
ther,O,O
be,O,O
no,O,O
remedy,O,O
",",O,O
so,O,O
that,O,O
.,O,O
.,O,O
respyt,O,O
after,O,O
to,O,O
ryd,O,O
from,O,O
hence,O,O
to,O,O
London,O,O
and,O,O
yt,O,O
.,O,O
to,O,O
come,O,O
ther,O,O
.,O,O
The,O,O
felles,O,O
stondes,O,O
me,O,O
yn,O,O
most,O,O
vjS,O,O
and,O,O
.,O,O
and,O,O
medyll,O,O
xiij,O,O
markes,O,O
;,O,O
some,O,O
of,O,O
the,O,O
felles,O,O
",",O,O
as,O,O
Jhon,O,O
Langford,O,O
writes,O,O
",",O,O
cost,O,O
but,O,O
vs,O,O
",",O,O
wyche,O,O
be,O,O
nat,O,O
meny,O,O
.,O,O
As,O,O
God,O,O
knov,O,O
",",O,O
Who,O,O
.,O,O
deseyr,O,O
",",O,O
and,O,O
send,O,O
ye,O,O
to,O,O
thes,O,O
partys,O,O
.,O,O
By,O,O
yowr,O,O
faythfull,O,O
frend,O,O
",",O,O
26.ROBERT,O,O
SAUNDERS,O,O
TO,O,O
OTWELL,O,O
JOHNSON,O,O
Being,O,O
sorry,O,O
(brother,O,O
),O,O
of,O,O
your,O,O
acrasement,O,O
",",O,O
and,O,O
the,O,O
lyxe,O,O
is,O,O
all,O,O
your,O,O
frendes,O,O
hier,O,O
",",O,O
but,O,O
we,O,O
hope,O,O
of,O,O
your,O,O
amendement,O,O
",",O,O
this,O,O
shal,O,O
be,O,O
to,O,O
declaire,O,O
unto,O,O
you,O,O
tnat,O,O
by,O,O
this,O,O
berar,O,O
",",O,O
your,O,O
servaunt,O,O
Richard,O,O
Preston,O,O
",",O,O
I,O,O
send,O,O
you,O,O
according,O,O
to,O,O
your,O,O
writing,O,O
by,O,O
him,O,O
iiij^xx,O,O
li,O,O
st,O,O
.,O,O
(I,O,O
say,O,O
),O,O
80li,O,O
0s,O,O
0d,O,O
st.,O,O
",",O,O
bycause,O,O
that,O,O
I,O,O
have,O,O
not,O,O
sent,O,O
you,O,O
befor,O,O
this,O,O
the,O,O
xxx,O,O
li,O,O
that,O,O
you,O,O
write,O,O
of,O,O
.,O,O
But,O,O
the,O,O
xxli,O,O
to,O,O
Mr,O,O
.,O,O
Cave,O,O
I,O,O
have,O,O
paid,O,O
",",O,O
and,O,O
moche,O,O
more,O,O
",",O,O
wherof,O,O
my,O,O
former,O,O
lettres,O,O
the,O,O
last,O,O
weke,O,O
",",O,O
and,O,O
also,O,O
iiij,O,O
or,O,O
v,O,O
dayes,O,O
past,O,O
",",O,O
sent,O,O
by,O,O
the,O,O
way,O,O
of,O,O
tykeford,O,O
",",O,O
do,O,O
mencion,O,O
samewhat,O,O
at,O,O
large,O,O
",",O,O
Which,O,O
I,O,O
trust,O,O
befor,O,O
this,O,O
tyme,O,O
you,O,O
have,O,O
receyved,O,O
",",O,O
and,O,O
by,O,O
them,O,O
perceave,O,O
howe,O,O
I,O,O
have,O,O
aunsweryd,O,O
all,O,O
your,O,O
buysines,O,O
hietherto,O,O
",",O,O
withoute,O,O
yrkesomnes,O,O
I,O,O
trust,O,O
",",O,O
(1a,O,O
),O,O
or,O,O
ellis,O,O
your,O,O
thinges,O,O
hadde,O,O
ben,O,O
at,O,O
a,O,O
larger,O,O
square,O,O
than,O,O
(thanked,O,O
be,O,O
God,O,O
),O,O
thay,O,O
be,O,O
at,O,O
",",O,O
albeit,O,O
that,O,O
indede,O,O
to,O,O
the,O,O
performance,O,O
therof,O,O
I,O,O
have,O,O
used,O,O
th'exchange,O,O
the,O,O
more,O,O
familiarely,O,O
tnan,O,O
ellis,O,O
I,O,O
wold,O,O
have,O,O
done,O,O
",",O,O
if,O,O
I,O,O
could,O,O
by,O,O
anny,O,O
other,O,O
measne,O,O
have,O,O
furnisshed,O,O
owte,O,O
the,O,O
same,O,O
",",O,O
as,O,O
I,O,O
thinke,O,O
you,O,O
have,O,O
sufficient,O,O
perseveraunce,O,O
by,O,O
my,O,O
former,O,O
writing,O,O
",",O,O
so,O,O
that,O,O
hier,O,O
I,O,O
nede,O,O
not,O,O
repete,O,O
the,O,O
mater,O,O
particularely,O,O
agen,O,O
.,O,O
But,O,O
yet,O,O
brieffly,O,O
understond,O,O
that,O,O
I,O,O
have,O,O
charged,O,O
Robert,O,O
Androwe,O,O
in,O,O
your,O,O
name,O,O
with,O,O
thies,O,O
payementes,O,O
following,O,O
",",O,O
sins,O,O
your,O,O
owne,O,O
being,O,O
hier,O,O
",",O,O
vic'z,O,O
.,O,O
At,O,O
London,O,O
",",O,O
the,B,B
first,I,I
in,I,I
July,I,I
",",I,I
1542,I,I
.,O,O
I,O,O
offryd,O,O
him,O,O
to,O,O
geve,O,O
him,O,O
part,O,O
of,O,O
the,O,O
monney,O,O
to,O,O
provide,O,O
you,O,O
thear,O,O
",",O,O
but,O,O
he,O,O
wolde,O,O
not,O,O
here,O,O
of,O,O
that,O,O
syde,O,O
;,O,O
he,O,O
ys,O,O
to,O,O
crafty,O,O
to,O,O
be,O,O
syrcumvented,O,O
.,O,O
I,O,O
can,O,O
say,O,O
no,O,O
more,O,O
",",O,O
but,O,O
you,O,O
must,O,O
provide,O,O
for,O,O
yourselffe,O,O
thear,O,O
",",O,O
or,O,O
yf,O,O
you,O,O
cannot,O,O
",",O,O
then,O,O
I,O,O
recken,O,O
I,O,O
can,O,O
provide,O,O
for,O,O
you,O,O
here,O,O
in,O,O
this,O,O
towng,O,O
by,O,O
means,O,O
of,O,O
iij,O,O
or,O,O
iiij,O,O
shippes,O,O
wiche,O,O
Hasby,O,O
and,O,O
his,O,O
company,O,O
hathe,O,O
taken,O,O
.,O,O
Write,O,O
me,O,O
what,O,O
waye,O,O
you,O,O
will,O,O
take,O,O
",",O,O
and,O,O
I,O,O
will,O,O
follow,O,O
your,O,O
advise,O,O
.,O,O
Seigneur,O,O
",",O,O
se,O,O
il,O,O
est,O,O
chosse,O,O
que,O,O
je,O,O
puisse,O,O
faire,O,O
",",O,O
mande,O,O
le,O,O
moy,O,O
",",O,O
et,O,O
je,O,O
le,O,O
feray,O,O
.,O,O
Seigneur,O,O
",",O,O
je,O,O
vous,O,O
prie,O,O
que,O,O
vieulles,O,O
achepeter,O,O
trois,O,O
de,O,O
mes,O,O
cedulle,O,O
",",O,O
chusqune,O,O
de,O,O
100li,O,O
seterlin,O,O
",",O,O
assavrir,O,O
unne,O,O
sur,O,O
Jan,O,O
Groussen,O,O
",",O,O
et,O,O
unne,O,O
sur,O,O
Tomas,O,O
Brounile,O,O
",",O,O
et,O,O
l'autre,O,O
sur,O,O
Josse,O,O
Secorre,O,O
et,O,O
Frere,O,O
",",O,O
et,O,O
je,O,O
vous,O,O
renvoiray,O,O
otant,O,O
a,O,O
rechevoir,O,O
",",O,O
pour,O,O
le,O,O
dit,O,O
jour,O,O
",",O,O
et,O,O
sinon,O,O
le,O,O
reprende,O,O
sur,O,O
moy,O,O
;,O,O
mes,O,O
je,O,O
espere,O,O
que,O,O
je,O,O
il,O,O
furniray,O,O
sans,O,O
fortune,O,O
;,O,O
partant,O,O
je,O,O
vous,O,O
prie,O,O
que,O,O
les,O,O
achaipt,O,O
et,O,O
paie,O,O
come,O,O
je,O,O
feroie,O,O
pour,O,O
vous,O,O
",",O,O
sy,O,O
me,O,O
le,O,O
mandies,O,O
;,O,O
pour,O,O
advis,O,O
.,O,O
I,O,O
receyved,O,O
youres,O,O
by,O,O
Cokyn,O,O
",",O,O
hertely,O,O
thanckyng,O,O
youe,O,O
for,O,O
your,O,O
jentill,O,O
remembrances,O,O
;,O,O
and,O,O
I,O,O
shall,O,O
desyre,O,O
youe,O,O
",",O,O
althowgh,O,O
ye,O,O
have,O,O
gyven,O,O
in,O,O
commission,O,O
to,O,O
your,O,O
servant,O,O
to,O,O
make,O,O
sale,O,O
of,O,O
all,O,O
the,O,O
wynes,O,O
",",O,O
savyng,O,O
x,O,O
tonnes,O,O
of,O,O
the,O,O
best,O,O
to,O,O
be,O,O
reservyd,O,O
for,O,O
fryndes,O,O
",",O,O
yet,O,O
I,O,O
shall,O,O
desyre,O,O
youe,O,O
that,O,O
ye,O,O
will,O,O
wrightt,O,O
hym,O,O
to,O,O
apoint,O,O
me,O,O
iiij,O,O
tonne,O,O
at,O,O
leest,O,O
",",O,O
well,O,O
soortted,O,O
with,O,O
som,O,O
colowrs,O,O
",",O,O
and,O,O
ij,O,O
tonnes,O,O
of,O,O
the,O,O
x,O,O
tonnes,O,O
reservyd,O,O
;,O,O
which,O,O
vj,O,O
tonne,O,O
I,O,O
