free_annotations._id	free_annotations.annotations.NER	free_annotations.span	letters._id
f.SB_J_8.344_345	NAME	344/345	SB_J_8
f.SB_J_8.353_354	NAME	353/354	SB_J_8
f.SB_J_8.391_392	NAME	391/392	SB_J_8
f.SB_J_8.423_424	NAME	423/424	SB_J_8
f.SB_J_11.66_66	LOCATION	66/66	SB_J_11
f.SB_J_11.208_208	LOCATION	208/208	SB_J_11
f.SB_J_10.42_43	NAME	42/43	SB_J_10
f.SB_J_10.70_71	NAME	70/71	SB_J_10
f.SB_J_10.149_150	NAME	149/150	SB_J_10
f.SB_J_12.54_55	NAME	54/55	SB_J_12
f.SB_J_13.256_256	LOCATION	256/256	SB_J_13
f.SB_J_13.263_265	NAME	263/265	SB_J_13
f.SB_J_14.45_46		45/46	SB_J_14
f.SB_J_14.48_51		48/51	SB_J_14
f.SB_J_14.48_50	NAME	48/50	SB_J_14
f.SB_J_14.83_85		83/85	SB_J_14
f.SB_J_14.92_92		92/92	SB_J_14
f.SB_J_14.207_208	NAME	207/208	SB_J_14
f.SB_J_14.173_174	NAME	173/174	SB_J_14
f.SB_J_14.131_132	NAME	131/132	SB_J_14
f.SB_J_14.251_251	LOCATION	251/251	SB_J_14
f.SB_J_14.243_243	LOCATION	243/243	SB_J_14
f.SB_J_14.287_288	NAME	287/288	SB_J_14
f.SB_J_14.389_390	NAME	389/390	SB_J_14
f.SB_J_14.329_330	NAME	329/330	SB_J_14
f.SB_J_14.284_285		284/285	SB_J_14
f.SB_J_14.394_395	NAME	394/395	SB_J_14
f.SB_J_14.425_429		425/429	SB_J_14
f.SB_J_14.436_437		436/437	SB_J_14
f.SB_J_15.35_37		35/37	SB_J_15
f.SB_J_15.44_45		44/45	SB_J_15
f.SB_J_15.81_82		81/82	SB_J_15
f.SB_J_16.31_32	NAME	31/32	SB_J_16
f.SB_J_16.108_109	NAME	108/109	SB_J_16
f.SB_J_16.223_224	NAME	223/224	SB_J_16
f.SB_J_16.228_229	NAME	228/229	SB_J_16
f.SB_J_16.233_234	NAME	233/234	SB_J_16
f.SB_J_16.207_208	NAME	207/208	SB_J_16
f.SB_J_16.319_320	NAME	319/320	SB_J_16
f.SB_J_16.390_448		390/448	SB_J_16
f.SB_J_17.29_31		29/31	SB_J_17
f.SB_J_17.42_43		42/43	SB_J_17
f.SB_J_17.103_104		103/104	SB_J_17
f.SB_J_17.151_153		151/153	SB_J_17
f.SB_J_17.366_371		366/371	SB_J_17
f.SB_J_17.277_279		277/279	SB_J_17
f.SB_J_17.281_281		281/281	SB_J_17
f.SB_J_17.284_285		284/285	SB_J_17
f.SB_J_17.298_299		298/299	SB_J_17
f.SB_J_17.332_333		332/333	SB_J_17
f.SB_J_17.363_364		363/364	SB_J_17
f.SB_J_17.378_379		378/379	SB_J_17
f.SB_J_17.470_471		470/471	SB_J_17
f.SB_J_17.482_483		482/483	SB_J_17
f.SB_J_18.53_54		53/54	SB_J_18
f.SB_J_18.278_278	LOCATION	278/278	SB_J_18
f.SB_J_18.294_296	NAME	294/296	SB_J_18
f.SB_J_18.301_301	LOCATION	301/301	SB_J_18
f.SB_J_18.127_128		127/128	SB_J_18
f.SB_J_18.303_340		303/340	SB_J_18
f.SB_J_19.46_46		46/46	SB_J_19
f.SB_J_19.105_105		105/105	SB_J_19
f.SB_J_19.107_107		107/107	SB_J_19
f.SB_J_19.109_109		109/109	SB_J_19
f.SB_J_19.112_112		112/112	SB_J_19
f.SB_J_19.151_152		151/152	SB_J_19
f.SB_J_19.205_205		205/205	SB_J_19
f.SB_J_19.143_143		143/143	SB_J_19
f.SB_J_19.320_321		320/321	SB_J_19
f.SB_J_19.297_297		297/297	SB_J_19
f.SB_J_19.299_299		299/299	SB_J_19
f.SB_J_19.425_427		425/427	SB_J_19
f.SB_J_19.451_452		451/452	SB_J_19
f.SB_J_19.456_458		456/458	SB_J_19
f.SB_J_19.466_467		466/467	SB_J_19
f.SB_J_19.477_479		477/479	SB_J_19
f.SB_J_19.540_540		540/540	SB_J_19
f.SB_J_19.543_544		543/544	SB_J_19
f.SB_J_19.562_564		562/564	SB_J_19
f.SB_J_19.571_574		571/574	SB_J_19
f.SB_J_20.169_170		169/170	SB_J_20
f.SB_J_20.290_291		290/291	SB_J_20
f.SB_J_20.31_34		31/34	SB_J_20
f.SB_J_20.42_43		42/43	SB_J_20
f.SB_J_20.66_67		66/67	SB_J_20
f.SB_J_20.81_83		81/83	SB_J_20
f.SB_J_20.103_103		103/103	SB_J_20
f.SB_J_20.114_115		114/115	SB_J_20
f.SB_J_20.127_127		127/127	SB_J_20
f.SB_J_20.255_256		255/256	SB_J_20
f.SB_J_20.284_285		284/285	SB_J_20
f.SB_J_21.46_46	LOCATION	46/46	SB_J_21
f.SB_J_21.87_88	NAME	87/88	SB_J_21
f.SB_J_21.139_140	LOCATION	139/140	SB_J_21
f.SB_J_21.162_162	LOCATION	162/162	SB_J_21
f.SB_J_21.164_167	NAME	164/167	SB_J_21
f.SB_J_21.205_208	NAME	205/208	SB_J_21
f.SB_J_21.218_220		218/220	SB_J_21
f.SB_J_21.231_232	NAME	231/232	SB_J_21
f.SB_J_21.234_235	NAME	234/235	SB_J_21
f.SB_J_21.306_306	LOCATION	306/306	SB_J_21
f.SB_J_21.307_307	LOCATION	307/307	SB_J_21
f.SB_J_21.309_309	LOCATION	309/309	SB_J_21
f.SB_J_21.311_311	LOCATION	311/311	SB_J_21
f.SB_J_21.335_335	LOCATION	335/335	SB_J_21
f.SB_J_21.337_338	NAME	337/338	SB_J_21
f.SB_J_21.415_415	NATION	415/415	SB_J_21
f.SB_J_21.53_53	NATION	53/53	SB_J_21
f.SB_J_21.40_40		40/40	SB_J_21
f.SB_J_22.74_75		74/75	SB_J_22
f.SB_J_22.181_181		181/181	SB_J_22
f.SB_J_22.189_190		189/190	SB_J_22
f.SB_J_22.194_195		194/195	SB_J_22
f.SB_J_22.212_213		212/213	SB_J_22
f.SB_J_22.201_201		201/201	SB_J_22
f.SB_J_22.267_267		267/267	SB_J_22
f.SB_J_23.101_102		101/102	SB_J_23
f.SB_J_23.50_52		50/52	SB_J_23
f.SB_J_23.64_65		64/65	SB_J_23
f.SB_J_23.24_27		24/27	SB_J_23
f.SB_J_23.131_131		131/131	SB_J_23
f.SB_J_23.188_190		188/190	SB_J_23
f.SB_J_23.204_204		204/204	SB_J_23
f.SB_J_23.194_194		194/194	SB_J_23
f.SB_J_23.196_196		196/196	SB_J_23
f.SB_J_23.278_278		278/278	SB_J_23
f.SB_J_23.286_286		286/286	SB_J_23
f.SB_J_23.308_309		308/309	SB_J_23
f.SB_J_23.315_316		315/316	SB_J_23
f.SB_J_23.345_345		345/345	SB_J_23
f.SB_J_23.412_414		412/414	SB_J_23
f.SB_J_23.431_433		431/433	SB_J_23
f.SB_J_23.437_439		437/439	SB_J_23
f.SB_J_23.434_435		434/435	SB_J_23
f.SB_J_23.440_442		440/442	SB_J_23
f.SB_J_23.443_445		443/445	SB_J_23
f.SB_J_23.484_485		484/485	SB_J_23
f.SB_J_23.494_495		494/495	SB_J_23
f.SB_J_23.506_507		506/507	SB_J_23
f.SB_J_23.526_527		526/527	SB_J_23
f.SB_J_23.537_538		537/538	SB_J_23
f.SB_J_25.38_39		38/39	SB_J_25
f.SB_J_23.620_621		620/621	SB_J_23
f.SB_J_26.38_40	NAME	38/40	SB_J_26
f.SB_J_26.98_100	NAME	98/100	SB_J_26
f.SB_J_26.118_119	LOCATION	118/119	SB_J_26
f.SB_J_26.174_174	DATE	174/174	SB_J_26
f.SB_J_26.221_221	DATE	221/221	SB_J_26
f.SB_J_26.381_382		381/382	SB_J_26
f.SB_J_26.383_385		383/385	SB_J_26
f.SB_J_27.31_31	NAME	31/31	SB_J_27
f.SB_J_27.53_53	LOCATION	53/53	SB_J_27
f.SB_J_27.297_297	DATE	297/297	SB_J_27
f.SB_J_27.212_213		212/213	SB_J_27
f.SB_J_27.565_566	NAME	565/566	SB_J_27
f.SB_J_27.375_377	NAME	375/377	SB_J_27
f.SB_J_27.443_559		443/559	SB_J_27
f.SB_J_1.1_2	NAME	1/2	SB_J_1
f.SB_J_1.4_5	NAME	4/5	SB_J_1
f.SB_J_1.7_7	LOCATION	7/7	SB_J_1
f.SB_J_1.35_36	NAME	35/36	SB_J_1
f.SB_J_1.376_376	LOCATION	376/376	SB_J_1
f.SB_J_1.459_459	LOCATION	459/459	SB_J_1
f.SB_J_1.490_490	LOCATION	490/490	SB_J_1
f.SB_J_1.495_495	LOCATION	495/495	SB_J_1
f.SB_J_2.1_2	NAME	1/2	SB_J_2
f.SB_J_2.4_5	NAME	4/5	SB_J_2
f.SB_J_2.7_7	LOCATION	7/7	SB_J_2
f.SB_J_2.697_699	NAME	697/699	SB_J_2
f.SB_J_2.701_702	NAME	701/702	SB_J_2
f.SB_J_2.704_706	NAME	704/706	SB_J_2
f.SB_J_2.708_709	NAME	708/709	SB_J_2
f.SB_J_2.711_713	DATE	711/713	SB_J_2
f.SB_J_2.18_22	TIME	18/22	SB_J_2
f.SB_J_2.146_146	LOCATION	146/146	SB_J_2
f.SB_J_2.150_150	TIME	150/150	SB_J_2
f.SB_J_2.194_194	LOCATION	194/194	SB_J_2
f.SB_J_2.245_245	TIME	245/245	SB_J_2
f.SB_J_2.258_260	PRICE	258/260	SB_J_2
f.SB_J_2.267_267	PRICE	267/267	SB_J_2
f.SB_J_2.427_428	TIME	427/428	SB_J_2
f.SB_J_2.440_441	LOCATION	440/441	SB_J_2
f.SB_J_2.442_444	TIME	442/444	SB_J_2
f.SB_J_2.535_538	NAME	535/538	SB_J_2
f.SB_J_2.569_570	NAME	569/570	SB_J_2
f.SB_J_2.636_637	NAME	636/637	SB_J_2
f.SB_J_2.680_681	NAME	680/681	SB_J_2
f.SB_J_2.687_687	LOCATION	687/687	SB_J_2
f.SB_J_2.692_692	LOCATION	692/692	SB_J_2
f.SB_J_3.3_4	NAME	3/4	SB_J_3
f.SB_J_3.162_163	LOCATION	162/163	SB_J_3
f.SB_J_3.165_169	DATE	165/169	SB_J_3
f.SB_J_3.175_176	NAME	175/176	SB_J_3
f.SB_J_3.179_180	NAME	179/180	SB_J_3
f.SB_J_3.186_186	LOCATION	186/186	SB_J_3
f.SB_J_3.191_191	LOCATION	191/191	SB_J_3
f.SB_J_3.205_209	DATE	205/209	SB_J_3
f.SB_J_4.1_2	NAME	1/2	SB_J_4
f.SB_J_4.4_5	NAME	4/5	SB_J_4
f.SB_J_4.8_8	LOCATION	8/8	SB_J_4
f.SB_J_4.10_12	DATE	10/12	SB_J_4
f.SB_J_4.14_14	TIME	14/14	SB_J_4
f.SB_J_4.63_65	TIME	63/65	SB_J_4
f.SB_J_2.55_57	TIME	55/57	SB_J_2
f.SB_J_1.42_42	TIME	42/42	SB_J_1
f.SB_J_1.165_168	TIME	165/168	SB_J_1
f.SB_J_4.167_168	NAME	167/168	SB_J_4
f.SB_J_4.173_174	NAME	173/174	SB_J_4
f.SB_J_4.179_179	LOCATION	179/179	SB_J_4
f.SB_J_4.193_195	DATE	193/195	SB_J_4
f.SB_J_4.210_211	NAME	210/211	SB_J_4
f.SB_J_5.0_1	NAME	0/1	SB_J_5
f.SB_J_5.3_4	NAME	3/4	SB_J_5
f.SB_J_5.9_9	LOCATION	9/9	SB_J_5
f.SB_J_5.61_62	TIME	61/62	SB_J_5
f.SB_J_5.72_72	LOCATION	72/72	SB_J_5
f.SB_J_5.135_136	NAME	135/136	SB_J_5
f.SB_J_5.172_173	NAME	172/173	SB_J_5
f.SB_J_5.202_202	TIME	202/202	SB_J_5
f.SB_J_5.212_213	TIME	212/213	SB_J_5
f.SB_J_5.271_271	NAME	271/271	SB_J_5
f.SB_J_5.283_283	NAME	283/283	SB_J_5
f.SB_J_5.288_288	TIME	288/288	SB_J_5
f.SB_J_5.293_293	LOCATION	293/293	SB_J_5
f.SB_J_5.295_295	NAME	295/295	SB_J_5
f.SB_J_5.298_298	LOCATION	298/298	SB_J_5
f.SB_J_5.308_308	LOCATION	308/308	SB_J_5
f.SB_J_5.322_323	TIME	322/323	SB_J_5
f.SB_J_5.380_380	LOCATION	380/380	SB_J_5
f.SB_J_5.471_472	NAME	471/472	SB_J_5
f.SB_J_5.474_474	NAME	474/474	SB_J_5
f.SB_J_5.483_483	NAME	483/483	SB_J_5
f.SB_J_5.517_518	NAME	517/518	SB_J_5
f.SB_J_5.526_527	NAME	526/527	SB_J_5
f.SB_J_5.562_563	NAME	562/563	SB_J_5
f.SB_J_5.592_593	NAME	592/593	SB_J_5
f.SB_J_5.605_607	NAME	605/607	SB_J_5
f.SB_J_5.647_647	LOCATION	647/647	SB_J_5
f.SB_J_5.695_695	NAME	695/695	SB_J_5
f.SB_J_5.751_751	LOCATION	751/751	SB_J_5
f.SB_J_5.784_785	NAME	784/785	SB_J_5
f.SB_J_5.790_791	NAME	790/791	SB_J_5
f.SB_J_5.794_795	NAME	794/795	SB_J_5
f.SB_J_5.810_811	NAME	810/811	SB_J_5
f.SB_J_5.869_869	NAME	869/869	SB_J_5
f.SB_J_5.881_882	NAME	881/882	SB_J_5
f.SB_J_5.888_888	LOCATION	888/888	SB_J_5
f.SB_J_5.892_893	LOCATION	892/893	SB_J_5
f.SB_J_5.907_909	DATE	907/909	SB_J_5
f.SB_J_5.918_918	LOCATION	918/918	SB_J_5
f.SB_J_5.921_923	NAME	921/923	SB_J_5
f.SB_J_5.925_925	LOCATION	925/925	SB_J_5
f.SB_J_5.927_929	NAME	927/929	SB_J_5
f.SB_J_6.1_3	NAME	1/3	SB_J_6
f.SB_J_6.5_6	NAME	5/6	SB_J_6
f.SB_J_6.7_8	NAME	7/8	SB_J_6
f.SB_J_6.202_203	PRICE	202/203	SB_J_6
f.SB_J_6.209_210	NAME	209/210	SB_J_6
f.SB_J_6.215_215	LOCATION	215/215	SB_J_6
f.SB_J_6.237_238	DATE	237/238	SB_J_6
f.SB_J_6.302_302	NAME	302/302	SB_J_6
f.SB_J_6.328_331	TIME	328/331	SB_J_6
f.SB_J_6.345_345	LOCATION	345/345	SB_J_6
f.SB_J_6.347_352	DATE	347/352	SB_J_6
f.SB_J_6.354_355	NAME	354/355	SB_J_6
f.SB_J_6.360_361	NAME	360/361	SB_J_6
f.SB_J_6.366_366	LOCATION	366/366	SB_J_6
f.SB_J_6.374_375	LOCATION	374/375	SB_J_6
f.SB_J_6.377_377	LOCATION	377/377	SB_J_6
f.SB_J_6.403_404	DATE	403/404	SB_J_6
f.SB_J_7.1_3	NAME	1/3	SB_J_7
f.SB_J_7.5_6	NAME	5/6	SB_J_7
f.SB_J_7.7_8	NAME	7/8	SB_J_7
f.SB_J_7.236_238	PRICE	236/238	SB_J_7
f.SB_J_7.250_251	PRICE	250/251	SB_J_7
f.SB_J_7.255_256	NAME	255/256	SB_J_7
f.SB_J_7.328_328	LOCATION	328/328	SB_J_7
f.SB_J_7.332_334	PRICE	332/334	SB_J_7
f.SB_J_7.352_355	DATE	352/355	SB_J_7
f.SB_J_7.371_374	DATE	371/374	SB_J_7
f.SB_J_7.381_381	LOCATION	381/381	SB_J_7
f.SB_J_7.404_406	NAME	404/406	SB_J_7
f.SB_J_7.411_413	PRICE	411/413	SB_J_7
f.SB_J_7.434_434	LOCATION	434/434	SB_J_7
f.SB_J_7.492_492	LOCATION	492/492	SB_J_7
f.SB_J_7.518_520	NAME	518/520	SB_J_7
f.SB_J_7.529_529	LOCATION	529/529	SB_J_7
f.SB_J_7.548_550	NAME	548/550	SB_J_7
f.SB_J_7.569_569	LOCATION	569/569	SB_J_7
f.SB_J_7.581_581	LOCATION	581/581	SB_J_7
f.SB_J_7.579_579	TIME	579/579	SB_J_7
f.SB_J_7.589_591	DATE	589/591	SB_J_7
f.SB_J_7.597_597	LOCATION	597/597	SB_J_7
f.SB_J_7.638_638	LOCATION	638/638	SB_J_7
f.SB_J_7.639_645	DATE	639/645	SB_J_7
f.SB_J_7.648_650	NAME	648/650	SB_J_7
f.SB_J_7.660_661	NAME	660/661	SB_J_7
f.SB_J_7.667_667	LOCATION	667/667	SB_J_7
f.SB_J_7.676_678	NAME	676/678	SB_J_7
f.SB_J_7.680_680	LOCATION	680/680	SB_J_7
f.SB_J_7.682_683	LOCATION	682/683	SB_J_7
f.SB_J_7.714_714	LOCATION	714/714	SB_J_7
f.SB_J_7.718_719	NAME	718/719	SB_J_7
f.SB_J_8.1_2	NAME	1/2	SB_J_8
f.SB_J_8.4_5	NAME	4/5	SB_J_8
f.SB_J_8.8_8	LOCATION	8/8	SB_J_8
f.SB_J_8.28_33	DATE	28/33	SB_J_8
f.SB_J_8.35_36	TIME	35/36	SB_J_8
f.SB_J_8.99_100	PRICE	99/100	SB_J_8
f.SB_J_8.110_114	TIME	110/114	SB_J_8
f.SB_J_8.133_134	PRICE	133/134	SB_J_8
f.SB_J_8.137_137	DATE	137/137	SB_J_8
f.SB_J_8.144_145	PRICE	144/145	SB_J_8
f.SB_J_8.152_153	PRICE	152/153	SB_J_8
f.SB_J_8.174_175	PRICE	174/175	SB_J_8
f.SB_J_8.177_178	MARKET	177/178	SB_J_8
f.SB_J_8.207_208	PRICE	207/208	SB_J_8
f.SB_J_8.210_211	PRICE	210/211	SB_J_8
f.SB_J_8.214_214	DATE	214/214	SB_J_8
f.SB_J_8.235_239	TIME	235/239	SB_J_8
f.SB_J_8.243_244	PRICE	243/244	SB_J_8
f.SB_J_8.250_251	MARKET	250/251	SB_J_8
f.SB_J_8.311_311	LOCATION	311/311	SB_J_8
f.SB_J_8.446_446	LOCATION	446/446	SB_J_8
f.SB_J_8.468_468	DATE	468/468	SB_J_8
f.SB_J_8.486_487	NAME	486/487	SB_J_8
f.SB_J_8.532_533	NAME	532/533	SB_J_8
f.SB_J_8.539_539	LOCATION	539/539	SB_J_8
f.SB_J_8.544_544	LOCATION	544/544	SB_J_8
f.SB_J_9.1_3	NAME	1/3	SB_J_9
f.SB_J_9.5_6	NAME	5/6	SB_J_9
f.SB_J_9.8_8	LOCATION	8/8	SB_J_9
f.SB_J_9.9_14	DATE	9/14	SB_J_9
f.SB_J_9.15_16	NAME	15/16	SB_J_9
f.SB_J_9.93_93	NAME	93/93	SB_J_9
f.SB_J_9.115_117	TIME	115/117	SB_J_9
f.SB_J_9.131_132	PRICE	131/132	SB_J_9
f.SB_J_9.136_137	MARKET	136/137	SB_J_9
f.SB_J_9.152_155	PRICE	152/155	SB_J_9
f.SB_J_9.159_162	PRICE	159/162	SB_J_9
f.SB_J_9.325_327	PRICE	325/327	SB_J_9
f.SB_J_9.335_338	PRICE	335/338	SB_J_9
f.SB_J_9.378_379	NAME	378/379	SB_J_9
f.SB_J_9.382_383	NAME	382/383	SB_J_9
f.SB_J_9.392_392	LOCATION	392/392	SB_J_9
f.SB_J_9.428_429	NAME	428/429	SB_J_9
f.SB_J_10.2_7	DATE	2/7	SB_J_10
f.SB_J_10.56_62	PRICE	56/62	SB_J_10
f.SB_J_10.93_94	MARKET	93/94	SB_J_10
f.SB_J_10.131_132	NAME	131/132	SB_J_10
f.SB_J_10.136_137	NAME	136/137	SB_J_10
f.SB_J_10.152_153	LOCATION	152/153	SB_J_10
f.SB_J_10.155_155	LOCATION	155/155	SB_J_10
f.SB_J_11.1_3	NAME	1/3	SB_J_11
f.SB_J_11.5_6	NAME	5/6	SB_J_11
f.SB_J_11.9_14	DATE	9/14	SB_J_11
f.SB_J_11.16_16	LOCATION	16/16	SB_J_11
f.SB_J_11.20_22	NAME	20/22	SB_J_11
f.SB_J_11.33_35	NAME	33/35	SB_J_11
f.SB_J_11.53_54	NATION	53/54	SB_J_11
f.SB_J_11.124_128	PRICE	124/128	SB_J_11
f.SB_J_11.136_137	NATION	136/137	SB_J_11
f.SB_J_11.153_155	PRICE	153/155	SB_J_11
f.SB_J_11.171_172	NAME	171/172	SB_J_11
f.SB_J_11.184_186	PRICE	184/186	SB_J_11
f.SB_J_11.193_194	PRICE	193/194	SB_J_11
f.SB_J_11.203_204	NATION	203/204	SB_J_11
f.SB_J_11.219_220	NATION	219/220	SB_J_11
f.SB_J_11.267_269	TIME	267/269	SB_J_11
f.SB_J_11.18_18	NAME	18/18	SB_J_11
f.SB_J_11.271_274	NAME	271/274	SB_J_11
f.SB_J_11.278_280	NAME	278/280	SB_J_11
f.SB_J_11.285_285	LOCATION	285/285	SB_J_11
f.SB_J_11.288_288	LOCATION	288/288	SB_J_11
f.SB_J_12.3_3	LOCATION	3/3	SB_J_12
f.SB_J_12.93_96	TIME	93/96	SB_J_12
f.SB_J_12.183_184	NAME	183/184	SB_J_12
f.SB_J_12.192_193	NAME	192/193	SB_J_12
f.SB_J_12.199_199	LOCATION	199/199	SB_J_12
f.SB_J_12.204_204	LOCATION	204/204	SB_J_12
f.SB_J_12.97_97	GOD	97/97	SB_J_12
f.SB_J_12.151_151	GOD	151/151	SB_J_12
f.SB_J_12.161_162	GOD	161/162	SB_J_12
f.SB_J_11.242_243	GOD	242/243	SB_J_11
f.SB_J_11.253_253	GOD	253/253	SB_J_11
f.SB_J_9.51_51	GOD	51/51	SB_J_9
f.SB_J_9.366_366	GOD	366/366	SB_J_9
f.SB_J_6.336_336	GOD	336/336	SB_J_6
f.SB_J_5.29_30	GOD	29/30	SB_J_5
f.SB_J_4.123_123	GOD	123/123	SB_J_4
f.SB_J_4.143_144	GOD	143/144	SB_J_4
f.SB_J_3.23_23	GOD	23/23	SB_J_3
f.SB_J_3.37_37	GOD	37/37	SB_J_3
f.SB_J_3.153_154	GOD	153/154	SB_J_3
f.SB_J_2.453_453	GOD	453/453	SB_J_2
f.SB_J_2.520_520	GOD	520/520	SB_J_2
f.SB_J_2.592_592	GOD	592/592	SB_J_2
f.SB_J_2.627_628	GOD	627/628	SB_J_2
f.SB_J_1.404_405	GOD	404/405	SB_J_1
f.SB_J_13.2_2	LOCATION	2/2	SB_J_13
f.SB_J_13.3_8	DATE	3/8	SB_J_13
f.SB_J_13.37_41	TIME	37/41	SB_J_13
f.SB_J_13.47_51	DATE	47/51	SB_J_13
f.SB_J_13.67_68	NAME	67/68	SB_J_13
f.SB_J_13.91_92	NAME	91/92	SB_J_13
f.SB_J_13.95_96	LOCATION	95/96	SB_J_13
f.SB_J_13.113_113	LOCATION	113/113	SB_J_13
f.SB_J_13.123_123	LOCATION	123/123	SB_J_13
f.SB_J_13.128_129	NAME	128/129	SB_J_13
f.SB_J_13.136_137	PRICE	136/137	SB_J_13
f.SB_J_13.147_149	NAME	147/149	SB_J_13
f.SB_J_13.159_160	TIME	159/160	SB_J_13
f.SB_J_13.180_180	LOCATION	180/180	SB_J_13
f.SB_J_13.217_217	NAME	217/217	SB_J_13
f.SB_J_13.221_221	LOCATION	221/221	SB_J_13
f.SB_J_13.274_275	TIME	274/275	SB_J_13
f.SB_J_13.281_286	PRICE	281/286	SB_J_13
f.SB_J_13.324_324	TIME	324/324	SB_J_13
f.SB_J_13.360_360	GOD	360/360	SB_J_13
f.SB_J_13.349_351	TIME	349/351	SB_J_13
f.SB_J_13.376_377	NAME	376/377	SB_J_13
f.SB_J_13.384_385	NAME	384/385	SB_J_13
f.SB_J_13.391_391	LOCATION	391/391	SB_J_13
f.SB_J_13.396_396	LOCATION	396/396	SB_J_13
f.SB_J_13.397_397	LOCATION	397/397	SB_J_13
f.SB_J_1.109_110	TIME	109/110	SB_J_1
f.SB_J_1.284_284	GOD	284/284	SB_J_1
f.SB_J_6.400_401	DATE	400/401	SB_J_6
